ID,sentimiento
60458,negativo
60459,positivo
60460,negativo
60461,positivo
60462,negativo
60463,negativo
60464,positivo
60465,positivo
60466,negativo
60467,positivo
60468,positivo
60469,negativo
60470,negativo
60471,negativo
60472,positivo
60473,positivo
60474,negativo
60475,positivo
60476,negativo
60477,negativo
60478,negativo
60479,negativo
60480,negativo
60481,positivo
60482,negativo
60483,negativo
60484,positivo
60485,positivo
60486,negativo
60487,positivo
60488,negativo
60489,positivo
60490,negativo
60491,positivo
60492,negativo
60493,negativo
60494,negativo
60495,negativo
60496,positivo
60497,positivo
60498,negativo
60499,positivo
60500,negativo
60501,positivo
60502,negativo
60503,positivo
60504,positivo
60505,positivo
60506,negativo
60507,negativo
60508,positivo
60509,negativo
60510,negativo
60511,negativo
60512,negativo
60513,negativo
60514,positivo
60515,negativo
60516,positivo
60517,positivo
60518,negativo
60519,negativo
60520,positivo
60521,negativo
60522,positivo
60523,positivo
60524,positivo
60525,positivo
60526,negativo
60527,positivo
60528,negativo
60529,positivo
60530,positivo
60531,positivo
60532,negativo
60533,positivo
60534,positivo
60535,positivo
60536,negativo
60537,positivo
60538,positivo
60539,negativo
60540,positivo
60541,positivo
60542,positivo
60543,positivo
60544,positivo
60545,positivo
60546,negativo
60547,positivo
60548,positivo
60549,positivo
60550,positivo
60551,negativo
60552,positivo
60553,positivo
60554,positivo
60555,positivo
60556,positivo
60557,positivo
60558,positivo
60559,positivo
60560,negativo
60561,positivo
60562,positivo
60563,positivo
60564,positivo
60565,positivo
60566,positivo
60567,positivo
60568,positivo
60569,negativo
60570,positivo
60571,positivo
60572,positivo
60573,negativo
60574,positivo
60575,positivo
60576,positivo
60577,negativo
60578,positivo
60579,positivo
60580,negativo
60581,positivo
60582,positivo
60583,positivo
60584,positivo
60585,negativo
60586,positivo
60587,negativo
60588,positivo
60589,positivo
60590,negativo
60591,positivo
60592,positivo
60593,positivo
60594,positivo
60595,negativo
60596,negativo
60597,positivo
60598,positivo
60599,positivo
60600,positivo
60601,positivo
60602,positivo
60603,positivo
60604,negativo
60605,negativo
60606,positivo
60607,positivo
60608,negativo
60609,positivo
60610,negativo
60611,negativo
60612,negativo
60613,negativo
60614,negativo
60615,positivo
60616,positivo
60617,negativo
60618,negativo
60619,negativo
60620,positivo
60621,positivo
60622,positivo
60623,positivo
60624,positivo
60625,negativo
60626,positivo
60627,negativo
60628,positivo
60629,positivo
60630,negativo
60631,positivo
60632,positivo
60633,positivo
60634,positivo
60635,positivo
60636,positivo
60637,negativo
60638,negativo
60639,negativo
60640,positivo
60641,positivo
60642,positivo
60643,positivo
60644,positivo
60645,negativo
60646,positivo
60647,positivo
60648,positivo
60649,positivo
60650,positivo
60651,positivo
60652,positivo
60653,positivo
60654,positivo
60655,positivo
60656,negativo
60657,positivo
60658,positivo
60659,positivo
60660,positivo
60661,negativo
60662,positivo
60663,negativo
60664,positivo
60665,positivo
60666,positivo
60667,positivo
60668,positivo
60669,positivo
60670,positivo
60671,positivo
60672,negativo
60673,negativo
60674,positivo
60675,positivo
60676,positivo
60677,positivo
60678,positivo
60679,positivo
60680,negativo
60681,positivo
60682,negativo
60683,negativo
60684,positivo
60685,positivo
60686,positivo
60687,negativo
60688,negativo
60689,positivo
60690,positivo
60691,positivo
60692,positivo
60693,negativo
60694,positivo
60695,positivo
60696,positivo
60697,positivo
60698,negativo
60699,negativo
60700,negativo
60701,positivo
60702,positivo
60703,positivo
60704,negativo
60705,negativo
60706,negativo
60707,negativo
60708,positivo
60709,positivo
60710,positivo
60711,positivo
60712,negativo
60713,positivo
60714,positivo
60715,positivo
60716,positivo
60717,negativo
60718,negativo
60719,negativo
60720,negativo
60721,negativo
60722,negativo
60723,negativo
60724,negativo
60725,positivo
60726,positivo
60727,positivo
60728,negativo
60729,negativo
60730,positivo
60731,negativo
60732,positivo
60733,negativo
60734,negativo
60735,positivo
60736,positivo
60737,positivo
60738,positivo
60739,negativo
60740,positivo
60741,positivo
60742,negativo
60743,positivo
60744,negativo
60745,positivo
60746,negativo
60747,positivo
60748,positivo
60749,negativo
60750,positivo
60751,positivo
60752,positivo
60753,positivo
60754,positivo
60755,positivo
60756,positivo
60757,positivo
60758,positivo
60759,positivo
60760,negativo
60761,positivo
60762,positivo
60763,positivo
60764,positivo
60765,positivo
60766,positivo
60767,positivo
60768,negativo
60769,negativo
60770,positivo
60771,positivo
60772,positivo
60773,positivo
60774,negativo
60775,negativo
60776,positivo
60777,positivo
60778,positivo
60779,positivo
60780,negativo
60781,positivo
60782,positivo
60783,positivo
60784,positivo
60785,positivo
60786,positivo
60787,positivo
60788,positivo
60789,positivo
60790,positivo
60791,positivo
60792,negativo
60793,positivo
60794,positivo
60795,positivo
60796,positivo
60797,positivo
60798,negativo
60799,positivo
60800,positivo
60801,positivo
60802,positivo
60803,positivo
60804,negativo
60805,positivo
60806,negativo
60807,positivo
60808,positivo
60809,positivo
60810,positivo
60811,positivo
60812,positivo
60813,negativo
60814,positivo
60815,positivo
60816,positivo
60817,negativo
60818,positivo
60819,positivo
60820,positivo
60821,negativo
60822,positivo
60823,positivo
60824,negativo
60825,positivo
60826,positivo
60827,negativo
60828,positivo
60829,positivo
60830,positivo
60831,positivo
60832,positivo
60833,negativo
60834,positivo
60835,positivo
60836,negativo
60837,negativo
60838,positivo
60839,negativo
60840,positivo
60841,negativo
60842,positivo
60843,negativo
60844,positivo
60845,negativo
60846,positivo
60847,positivo
60848,positivo
60849,negativo
60850,positivo
60851,positivo
60852,positivo
60853,negativo
60854,positivo
60855,positivo
60856,negativo
60857,positivo
60858,positivo
60859,negativo
60860,negativo
60861,positivo
60862,negativo
60863,positivo
60864,positivo
60865,negativo
60866,negativo
60867,positivo
60868,negativo
60869,positivo
60870,positivo
60871,positivo
60872,negativo
60873,negativo
60874,negativo
60875,positivo
60876,negativo
60877,positivo
60878,positivo
60879,positivo
60880,positivo
60881,positivo
60882,negativo
60883,negativo
60884,positivo
60885,negativo
60886,positivo
60887,positivo
60888,negativo
60889,positivo
60890,positivo
60891,positivo
60892,negativo
60893,negativo
60894,negativo
60895,positivo
60896,negativo
60897,negativo
60898,positivo
60899,positivo
60900,positivo
60901,negativo
60902,positivo
60903,positivo
60904,positivo
60905,positivo
60906,positivo
60907,positivo
60908,positivo
60909,positivo
60910,positivo
60911,positivo
60912,positivo
60913,negativo
60914,negativo
60915,negativo
60916,positivo
60917,positivo
60918,positivo
60919,positivo
60920,positivo
60921,negativo
60922,positivo
60923,positivo
60924,positivo
60925,negativo
60926,positivo
60927,positivo
60928,negativo
60929,negativo
60930,negativo
60931,negativo
60932,positivo
60933,negativo
60934,positivo
60935,positivo
60936,negativo
60937,negativo
60938,negativo
60939,negativo
60940,negativo
60941,negativo
60942,negativo
60943,positivo
60944,negativo
60945,positivo
60946,negativo
60947,positivo
60948,negativo
60949,negativo
60950,positivo
60951,negativo
60952,negativo
60953,negativo
60954,negativo
60955,positivo
60956,negativo
60957,positivo
60958,negativo
60959,positivo
60960,negativo
60961,negativo
60962,negativo
60963,positivo
60964,positivo
60965,negativo
60966,negativo
60967,positivo
60968,positivo
60969,negativo
60970,negativo
60971,positivo
60972,positivo
60973,negativo
60974,positivo
60975,positivo
60976,negativo
60977,negativo
60978,negativo
60979,negativo
60980,positivo
60981,negativo
60982,negativo
60983,negativo
60984,positivo
60985,negativo
60986,positivo
60987,negativo
60988,positivo
60989,positivo
60990,negativo
60991,positivo
60992,negativo
60993,positivo
60994,negativo
60995,positivo
60996,positivo
60997,positivo
60998,positivo
60999,negativo
61000,positivo
61001,negativo
61002,positivo
61003,positivo
61004,positivo
61005,negativo
61006,negativo
61007,positivo
61008,positivo
61009,negativo
61010,positivo
61011,positivo
61012,negativo
61013,positivo
61014,negativo
61015,negativo
61016,negativo
61017,negativo
61018,positivo
61019,negativo
61020,positivo
61021,positivo
61022,positivo
61023,positivo
61024,negativo
61025,negativo
61026,negativo
61027,negativo
61028,negativo
61029,negativo
61030,negativo
61031,positivo
61032,negativo
61033,negativo
61034,negativo
61035,positivo
61036,negativo
61037,positivo
61038,positivo
61039,negativo
61040,negativo
61041,positivo
61042,negativo
61043,positivo
61044,positivo
61045,negativo
61046,negativo
61047,negativo
61048,negativo
61049,negativo
61050,negativo
61051,negativo
61052,positivo
61053,negativo
61054,negativo
61055,negativo
61056,positivo
61057,positivo
61058,negativo
61059,negativo
61060,negativo
61061,negativo
61062,negativo
61063,negativo
61064,positivo
61065,negativo
61066,positivo
61067,positivo
61068,positivo
61069,negativo
61070,positivo
61071,positivo
61072,negativo
61073,positivo
61074,negativo
61075,positivo
61076,negativo
61077,negativo
61078,positivo
61079,positivo
61080,positivo
61081,positivo
61082,positivo
61083,negativo
61084,negativo
61085,positivo
61086,negativo
61087,positivo
61088,negativo
61089,negativo
61090,positivo
61091,negativo
61092,negativo
61093,positivo
61094,positivo
61095,positivo
61096,positivo
61097,negativo
61098,positivo
61099,negativo
61100,negativo
61101,negativo
61102,positivo
61103,positivo
61104,negativo
61105,negativo
61106,positivo
61107,negativo
61108,positivo
61109,positivo
61110,positivo
61111,negativo
61112,positivo
61113,negativo
61114,negativo
61115,positivo
61116,positivo
61117,negativo
61118,positivo
61119,positivo
61120,positivo
61121,negativo
61122,negativo
61123,negativo
61124,positivo
61125,positivo
61126,positivo
61127,negativo
61128,negativo
61129,positivo
61130,positivo
61131,negativo
61132,positivo
61133,negativo
61134,positivo
61135,positivo
61136,negativo
61137,positivo
61138,negativo
61139,negativo
61140,positivo
61141,positivo
61142,negativo
61143,negativo
61144,negativo
61145,positivo
61146,negativo
61147,negativo
61148,positivo
61149,negativo
61150,positivo
61151,positivo
61152,positivo
61153,negativo
61154,negativo
61155,negativo
61156,negativo
61157,negativo
61158,negativo
61159,positivo
61160,positivo
61161,positivo
61162,positivo
61163,positivo
61164,negativo
61165,positivo
61166,negativo
61167,negativo
61168,positivo
61169,negativo
61170,positivo
61171,negativo
61172,negativo
61173,positivo
61174,positivo
61175,negativo
61176,positivo
61177,positivo
61178,positivo
61179,negativo
61180,negativo
61181,positivo
61182,positivo
61183,positivo
61184,negativo
61185,negativo
61186,positivo
61187,positivo
61188,positivo
61189,negativo
61190,positivo
61191,positivo
61192,positivo
61193,positivo
61194,negativo
61195,negativo
61196,positivo
61197,negativo
61198,positivo
61199,negativo
61200,positivo
61201,negativo
61202,positivo
61203,negativo
61204,positivo
61205,positivo
61206,positivo
61207,positivo
61208,negativo
61209,positivo
61210,positivo
61211,negativo
61212,positivo
61213,negativo
61214,positivo
61215,negativo
61216,negativo
61217,negativo
61218,negativo
61219,positivo
61220,positivo
61221,negativo
61222,positivo
61223,positivo
61224,positivo
61225,negativo
61226,positivo
61227,negativo
61228,negativo
61229,negativo
61230,positivo
61231,positivo
61232,positivo
61233,positivo
61234,negativo
61235,positivo
61236,positivo
61237,negativo
61238,positivo
61239,negativo
61240,positivo
61241,positivo
61242,positivo
61243,positivo
61244,positivo
61245,positivo
61246,positivo
61247,negativo
61248,positivo
61249,negativo
61250,positivo
61251,negativo
61252,positivo
61253,positivo
61254,positivo
61255,positivo
61256,positivo
61257,positivo
61258,positivo
61259,negativo
61260,negativo
61261,positivo
61262,positivo
61263,positivo
61264,positivo
61265,negativo
61266,positivo
61267,positivo
61268,positivo
61269,negativo
61270,positivo
61271,positivo
61272,positivo
61273,positivo
61274,positivo
61275,negativo
61276,negativo
61277,positivo
61278,negativo
61279,positivo
61280,positivo
61281,negativo
61282,negativo
61283,negativo
61284,positivo
61285,positivo
61286,positivo
61287,negativo
61288,positivo
61289,negativo
61290,positivo
61291,negativo
61292,positivo
61293,negativo
61294,positivo
61295,positivo
61296,negativo
61297,negativo
61298,negativo
61299,negativo
61300,positivo
61301,positivo
61302,positivo
61303,positivo
61304,positivo
61305,positivo
61306,positivo
61307,negativo
61308,positivo
61309,positivo
61310,negativo
61311,positivo
61312,positivo
61313,negativo
61314,negativo
61315,negativo
61316,positivo
61317,negativo
61318,positivo
61319,negativo
61320,positivo
61321,negativo
61322,negativo
61323,positivo
61324,positivo
61325,positivo
61326,positivo
61327,positivo
61328,negativo
61329,negativo
61330,negativo
61331,positivo
61332,positivo
61333,positivo
61334,positivo
61335,negativo
61336,negativo
61337,positivo
61338,negativo
61339,positivo
61340,positivo
61341,negativo
61342,positivo
61343,positivo
61344,positivo
61345,negativo
61346,positivo
61347,negativo
61348,negativo
61349,negativo
61350,positivo
61351,positivo
61352,negativo
61353,positivo
61354,positivo
61355,positivo
61356,positivo
61357,positivo
61358,negativo
61359,negativo
61360,negativo
61361,positivo
61362,positivo
61363,positivo
61364,positivo
61365,positivo
61366,positivo
61367,positivo
61368,positivo
61369,positivo
61370,positivo
61371,negativo
61372,negativo
61373,positivo
61374,negativo
61375,positivo
61376,positivo
61377,positivo
61378,positivo
61379,positivo
61380,positivo
61381,negativo
61382,positivo
61383,positivo
61384,negativo
61385,negativo
61386,positivo
61387,positivo
61388,negativo
61389,negativo
61390,positivo
61391,positivo
61392,positivo
61393,positivo
61394,positivo
61395,positivo
61396,negativo
61397,positivo
61398,negativo
61399,positivo
61400,positivo
61401,positivo
61402,positivo
61403,negativo
61404,negativo
61405,positivo
61406,positivo
61407,negativo
61408,positivo
61409,positivo
61410,positivo
61411,positivo
61412,negativo
61413,negativo
61414,positivo
61415,positivo
61416,positivo
61417,positivo
61418,negativo
61419,positivo
61420,negativo
61421,negativo
61422,negativo
61423,positivo
61424,positivo
61425,positivo
61426,positivo
61427,positivo
61428,positivo
61429,positivo
61430,negativo
61431,positivo
61432,positivo
61433,positivo
61434,negativo
61435,negativo
61436,negativo
61437,positivo
61438,positivo
61439,negativo
61440,positivo
61441,positivo
61442,positivo
61443,negativo
61444,positivo
61445,positivo
61446,negativo
61447,negativo
61448,negativo
61449,negativo
61450,negativo
61451,negativo
61452,negativo
61453,positivo
61454,positivo
61455,positivo
61456,positivo
61457,positivo
61458,positivo
61459,negativo
61460,negativo
61461,positivo
61462,positivo
61463,positivo
61464,positivo
61465,negativo
61466,positivo
61467,positivo
61468,negativo
61469,positivo
61470,negativo
61471,positivo
61472,positivo
61473,positivo
61474,positivo
61475,negativo
61476,positivo
61477,positivo
61478,positivo
61479,negativo
61480,positivo
61481,negativo
61482,negativo
61483,negativo
61484,positivo
61485,positivo
61486,negativo
61487,positivo
61488,positivo
61489,positivo
61490,negativo
61491,positivo
61492,positivo
61493,positivo
61494,positivo
61495,negativo
61496,positivo
61497,positivo
61498,positivo
61499,negativo
61500,negativo
61501,positivo
61502,negativo
61503,positivo
61504,negativo
61505,positivo
61506,negativo
61507,negativo
61508,negativo
61509,negativo
61510,positivo
61511,negativo
61512,negativo
61513,negativo
61514,positivo
61515,negativo
61516,positivo
61517,negativo
61518,positivo
61519,positivo
61520,negativo
61521,negativo
61522,negativo
61523,negativo
61524,positivo
61525,negativo
61526,negativo
61527,negativo
61528,positivo
61529,negativo
61530,positivo
61531,negativo
61532,negativo
61533,negativo
61534,positivo
61535,positivo
61536,negativo
61537,positivo
61538,positivo
61539,positivo
61540,positivo
61541,positivo
61542,negativo
61543,negativo
61544,positivo
61545,positivo
61546,negativo
61547,positivo
61548,negativo
61549,negativo
61550,negativo
61551,positivo
61552,negativo
61553,negativo
61554,negativo
61555,negativo
61556,negativo
61557,positivo
61558,positivo
61559,positivo
61560,positivo
61561,negativo
61562,negativo
61563,negativo
61564,negativo
61565,negativo
61566,positivo
61567,positivo
61568,positivo
61569,positivo
61570,positivo
61571,positivo
61572,positivo
61573,positivo
61574,negativo
61575,positivo
61576,positivo
61577,negativo
61578,negativo
61579,negativo
61580,positivo
61581,negativo
61582,positivo
61583,positivo
61584,positivo
61585,negativo
61586,positivo
61587,positivo
61588,negativo
61589,positivo
61590,negativo
61591,positivo
61592,negativo
61593,positivo
61594,negativo
61595,negativo
61596,positivo
61597,positivo
61598,positivo
61599,positivo
61600,negativo
61601,positivo
61602,positivo
61603,negativo
61604,positivo
61605,positivo
61606,negativo
61607,negativo
61608,negativo
61609,positivo
61610,positivo
61611,positivo
61612,negativo
61613,positivo
61614,positivo
61615,positivo
61616,negativo
61617,negativo
61618,negativo
61619,positivo
61620,positivo
61621,negativo
61622,negativo
61623,negativo
61624,negativo
61625,positivo
61626,negativo
61627,negativo
61628,negativo
61629,positivo
61630,negativo
61631,positivo
61632,negativo
61633,positivo
61634,positivo
61635,negativo
61636,positivo
61637,positivo
61638,negativo
61639,positivo
61640,negativo
61641,negativo
61642,negativo
61643,negativo
61644,positivo
61645,positivo
61646,positivo
61647,negativo
61648,positivo
61649,positivo
61650,negativo
61651,positivo
61652,positivo
61653,negativo
61654,negativo
61655,negativo
61656,positivo
61657,positivo
61658,positivo
61659,positivo
61660,negativo
61661,positivo
61662,negativo
61663,positivo
61664,positivo
61665,positivo
61666,positivo
61667,positivo
61668,positivo
61669,negativo
61670,positivo
61671,positivo
61672,negativo
61673,negativo
61674,positivo
61675,positivo
61676,positivo
61677,positivo
61678,positivo
61679,negativo
61680,positivo
61681,negativo
61682,negativo
61683,positivo
61684,negativo
61685,positivo
61686,positivo
61687,positivo
61688,negativo
61689,negativo
61690,positivo
61691,negativo
61692,positivo
61693,positivo
61694,positivo
61695,positivo
61696,positivo
61697,positivo
61698,negativo
61699,positivo
61700,positivo
61701,negativo
61702,positivo
61703,negativo
61704,positivo
61705,positivo
61706,negativo
61707,negativo
61708,positivo
61709,positivo
61710,positivo
61711,positivo
61712,positivo
61713,positivo
61714,negativo
61715,positivo
61716,positivo
61717,positivo
61718,negativo
61719,negativo
61720,negativo
61721,negativo
61722,positivo
61723,negativo
61724,negativo
61725,positivo
61726,positivo
61727,positivo
61728,negativo
61729,positivo
61730,negativo
61731,positivo
61732,negativo
61733,positivo
61734,positivo
61735,positivo
61736,positivo
61737,positivo
61738,positivo
61739,negativo
61740,negativo
61741,positivo
61742,negativo
61743,negativo
61744,positivo
61745,positivo
61746,positivo
61747,positivo
61748,positivo
61749,negativo
61750,positivo
61751,negativo
61752,positivo
61753,positivo
61754,positivo
61755,positivo
61756,positivo
61757,positivo
61758,positivo
61759,positivo
61760,positivo
61761,positivo
61762,positivo
61763,positivo
61764,positivo
61765,negativo
61766,negativo
61767,negativo
61768,positivo
61769,positivo
61770,positivo
61771,positivo
61772,negativo
61773,positivo
61774,negativo
61775,negativo
61776,negativo
61777,negativo
61778,positivo
61779,negativo
61780,positivo
61781,positivo
61782,positivo
61783,positivo
61784,negativo
61785,positivo
61786,positivo
61787,positivo
61788,positivo
61789,negativo
61790,positivo
61791,positivo
61792,positivo
61793,positivo
61794,positivo
61795,positivo
61796,positivo
61797,positivo
61798,negativo
61799,negativo
61800,positivo
61801,positivo
61802,positivo
61803,negativo
61804,negativo
61805,negativo
61806,positivo
61807,negativo
61808,positivo
61809,positivo
61810,negativo
61811,positivo
61812,negativo
61813,positivo
61814,positivo
61815,negativo
61816,positivo
61817,positivo
61818,positivo
61819,positivo
61820,positivo
61821,positivo
61822,positivo
61823,negativo
61824,positivo
61825,negativo
61826,positivo
61827,negativo
61828,negativo
61829,negativo
61830,positivo
61831,positivo
61832,positivo
61833,positivo
61834,positivo
61835,positivo
61836,negativo
61837,positivo
61838,positivo
61839,positivo
61840,positivo
61841,positivo
61842,positivo
61843,positivo
61844,positivo
61845,positivo
61846,positivo
61847,positivo
61848,negativo
61849,positivo
61850,positivo
61851,negativo
61852,negativo
61853,positivo
61854,positivo
61855,negativo
61856,negativo
61857,positivo
61858,negativo
61859,positivo
61860,positivo
61861,positivo
61862,negativo
61863,negativo
61864,positivo
61865,positivo
61866,negativo
61867,positivo
61868,positivo
61869,positivo
61870,positivo
61871,positivo
61872,positivo
61873,negativo
61874,negativo
61875,positivo
61876,positivo
61877,positivo
61878,negativo
61879,positivo
61880,positivo
61881,negativo
61882,positivo
61883,positivo
61884,positivo
61885,positivo
61886,positivo
61887,positivo
61888,positivo
61889,negativo
61890,negativo
61891,negativo
61892,negativo
61893,negativo
61894,positivo
61895,positivo
61896,negativo
61897,negativo
61898,negativo
61899,positivo
61900,positivo
61901,negativo
61902,positivo
61903,positivo
61904,positivo
61905,positivo
61906,positivo
61907,positivo
61908,positivo
61909,positivo
61910,negativo
61911,positivo
61912,positivo
61913,positivo
61914,negativo
61915,positivo
61916,negativo
61917,positivo
61918,positivo
61919,positivo
61920,negativo
61921,positivo
61922,positivo
61923,positivo
61924,positivo
61925,negativo
61926,negativo
61927,positivo
61928,positivo
61929,positivo
61930,positivo
61931,negativo
61932,positivo
61933,positivo
61934,negativo
61935,positivo
61936,negativo
61937,positivo
61938,negativo
61939,negativo
61940,negativo
61941,negativo
61942,positivo
61943,positivo
61944,positivo
61945,positivo
61946,positivo
61947,positivo
61948,negativo
61949,positivo
61950,positivo
61951,positivo
61952,positivo
61953,negativo
61954,negativo
61955,positivo
61956,positivo
61957,negativo
61958,positivo
61959,positivo
61960,positivo
61961,negativo
61962,positivo
61963,negativo
61964,positivo
61965,negativo
61966,negativo
61967,negativo
61968,positivo
61969,negativo
61970,positivo
61971,negativo
61972,negativo
61973,negativo
61974,negativo
61975,negativo
61976,negativo
61977,negativo
61978,positivo
61979,positivo
61980,positivo
61981,positivo
61982,negativo
61983,positivo
61984,positivo
61985,negativo
61986,positivo
61987,negativo
61988,positivo
61989,positivo
61990,negativo
61991,negativo
61992,negativo
61993,positivo
61994,positivo
61995,positivo
61996,negativo
